0.5762388	
0.5851274	-7.71340925	-7.71435529	
0.5985809	-7.71028304	-7.71435529	
0.6053876	-7.70851176	-7.71435529	
0.6157891	-7.70478458	-7.71435529	
0.6257657	-7.70039647	-7.71435529	
0.6392321	-7.6929294	-7.71435529	
0.6461119	-7.68889743	-7.71435529	
0.6562214	-7.68202141	-7.70562865	
0.66638	-7.67428105	-7.696902	
0.6799594	-7.66227622	-7.696902	
0.6866712	-7.65616873	-7.68817536	
0.6968157	-7.64597416	-7.67944871	
0.7070123	-7.63488766	-7.67944871	
0.7204747	-7.61863567	-7.66199542	
0.7272934	-7.61020877	-7.66199542	
0.737461	-7.5966803	-7.64454212	
0.7476116	-7.58235676	-7.63581548	
0.761197	-7.56150696	-7.61836218	
0.7679807	-7.55093017	-7.60963554	
0.7781443	-7.53409722	-7.60090889	
0.7883619	-7.51633707	-7.5834556	
0.8007064	-7.49355801	-7.57472895	
0.808572	-7.47869672	-7.55727566	
0.8187666	-7.45850338	-7.53982237	
0.8289182	-7.43756826	-7.52236908	
0.8412647	-7.41079284	-7.50491578	
0.8491413	-7.39334834	-7.48746249	
0.8593599	-7.36977635	-7.4700092	
0.8694985	-7.3455916	-7.44382926	
0.8821909	-7.31385447	-7.41764932	
0.8898286	-7.29448344	-7.40019603	
0.8999482	-7.26786177	-7.37401609	
0.9100808	-7.24040063	-7.34783615	
0.9228392	-7.20434882	-7.31292957	
0.9310259	-7.18083797	-7.29547627	
0.9410355	-7.15123678	-7.26929633	
0.951326	-7.11991133	-7.2431164	
0.9638135	-7.08056384	-7.19948316	
0.9716372	-7.05558977	-7.17330323	
0.9900354	-6.99332491	-7.12094335	
0.9947212	-6.97753879	-7.10349006	
1.007296	-6.93356728	-7.05985682	
1.015111	-6.90587774	-7.03367689	
1.025234	-6.86911043	-6.9987703	
1.035437	-6.83122045	-6.96386372	
1.047874	-6.78367256	-6.91150384	
1.055801	-6.75300962	-6.8853239	
1.066081	-6.7122823	-6.84169067	
1.076342	-6.67080453	-6.80678408	
1.089215	-6.61733048	-6.75442421	
1.096726	-6.58581713	-6.72824427	
1.107014	-6.54171326	-6.68461104	
1.117121	-6.49756669	-6.6409778	
1.129955	-6.44005208	-6.58861793	
1.13753	-6.40581288	-6.55371134	
1.14774	-6.35872517	-6.51007811	
1.166442	-6.2690226	-6.42281165	
1.173419	-6.2354958	-6.38790506	
1.181415	-6.19651834	-6.35299848	
1.19174	-6.14525663	-6.3006386	
1.201841	-6.09668511	-6.24827872	
1.214422	-6.0375548	-6.1871922	
1.223447	-5.99564771	-6.14355897	
1.232552	-5.95399135	-6.09119909	
1.242728	-5.90826963	-6.03883921	
1.255411	-5.85265758	-5.96902604	
1.263096	-5.81925945	-5.93411946	
1.273287	-5.77587978	-5.88175958	
